authors,title,genres,book_id,image_url,year,average_rating
Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,fiction | comics | classics | graphic-novels | humor,1010,http://books.google.com/books/content?id=JuDInK3YtyMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1988,4.65
"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",classics | fiction | fantasy | young-adult,25,https://images.gr-assets.com/books/1474171184m/136251.jpg,2007,4.61
"Bill Watterson, G.B. Trudeau",Calvin and Hobbes,fiction | comics | classics | graphic-novels | humor,780,http://books.google.com/books/content?id=1iXKhV4p1CoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1987,4.61
"Francine Rivers, Richard Ferrone","A Voice in the Wind (Mark of the Lion, #1)",christian | fiction | religion | romance | historical-fiction,1618,https://images.gr-assets.com/books/1459567327m/95617.jpg,1998,4.6
Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)",fiction | young-adult | steampunk | fantasy | paranormal | romance | historical-fiction,460,https://images.gr-assets.com/books/1436788488m/18335634.jpg,2013,4.59
"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",classics | fiction | fantasy | young-adult,18,https://images.gr-assets.com/books/1499277281m/5.jpg,2004,4.53
Francine Rivers,Redeeming Love,christian | romance | fiction | historical-fiction,504,http://books.google.com/books/content?id=9BHzAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,4.48
"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit: Graphic Novel,fiction | comics | young-adult | classics | fantasy | graphic-novels,466,https://images.gr-assets.com/books/1374681632m/659469.jpg,1990,4.48
Brian Sibley,Harry Potter: Film Wizardry,art | nonfiction,2001,https://images.gr-assets.com/books/1464452934m/7952502.jpg,2010,4.48
Leigh Bardugo,"Six of Crows (Six of Crows, #1)",fiction | young-adult | lgbt | fantasy | romance,1668,https://images.gr-assets.com/books/1500689111m/23437156.jpg,2015,4.46
Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)",fiction | young-adult | steampunk | fantasy | paranormal | romance | historical-fiction,351,https://images.gr-assets.com/books/1460477747m/10025305.jpg,2011,4.46
Brandon Sanderson,"The Bands of Mourning (Mistborn, #6)",fiction | fantasy | steampunk,3341,https://images.gr-assets.com/books/1450134973m/18739426.jpg,2016,4.45
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",fiction | fantasy,39,https://images.gr-assets.com/books/1436732693m/13496.jpg,2005,4.45
Kathryn Stockett,The Help,fiction | classics | contemporary | chick-lit | historical-fiction,31,https://images.gr-assets.com/books/1346100365m/4667024.jpg,2009,4.45
J.R. Ward,"Lover Awakened (Black Dagger Brotherhood, #3)",fiction | erotica | fantasy | paranormal | romance,841,https://images.gr-assets.com/books/1388773547m/42900.jpg,2006,4.45
