authors,title,genres,book_id,image_url,year,average_rating
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",fiction | young-adult | fantasy | romance | science-fiction,1,https://images.gr-assets.com/books/1447303603m/2767052.jpg,2008,4.34
Stephenie Meyer,"Twilight (Twilight, #1)",fiction | young-adult | fantasy | paranormal | romance,3,https://images.gr-assets.com/books/1361039443m/41865.jpg,2006,3.57
Harper Lee,To Kill a Mockingbird,classics | historical-fiction | fiction | young-adult,4,https://images.gr-assets.com/books/1361975680m/2657.jpg,2006,4.25
F. Scott Fitzgerald,The Great Gatsby,classics | historical-fiction | fiction | romance,5,https://images.gr-assets.com/books/1490528560m/4671.jpg,2004,3.89
John Green,The Fault in Our Stars,contemporary | fiction | young-adult | romance,6,https://images.gr-assets.com/books/1360206420m/11870085.jpg,2012,4.26
J.D. Salinger,The Catcher in the Rye,classics | fiction | young-adult,8,https://images.gr-assets.com/books/1398034300m/5107.jpg,2001,3.79
Dan Brown,"Angels and Demons  (Robert Langdon, #1)",fiction | suspense | mystery | crime | historical-fiction | thriller,9,https://images.gr-assets.com/books/1303390735m/960.jpg,2006,3.85
Jane Austen,Pride and Prejudice,classics | historical-fiction | fiction | romance,10,https://images.gr-assets.com/books/1320399351m/1885.jpg,2000,4.24
Khaled Hosseini,The Kite Runner,classics | historical-fiction | contemporary | fiction,11,https://images.gr-assets.com/books/1484565687m/77203.jpg,2004,4.26
Veronica Roth,"Divergent (Divergent, #1)",fiction | young-adult | fantasy | romance | science-fiction,12,https://images.gr-assets.com/books/1328559506m/13335037.jpg,2012,4.24
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,memoir | history | nonfiction | classics | biography,15,https://images.gr-assets.com/books/1358276407m/48855.jpg,1993,4.1
"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",fiction | suspense | mystery | contemporary | crime | thriller,16,https://images.gr-assets.com/books/1327868566m/2429135.jpg,2008,4.11
Suzanne Collins,"Catching Fire (The Hunger Games, #2)",fiction | young-adult | fantasy | romance | science-fiction,17,https://images.gr-assets.com/books/1358273780m/6148028.jpg,2009,4.3
"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",classics | fiction | fantasy | young-adult,18,https://images.gr-assets.com/books/1499277281m/5.jpg,2004,4.53
Suzanne Collins,"Mockingjay (The Hunger Games, #3)",fiction | young-adult | fantasy | romance | science-fiction,20,https://images.gr-assets.com/books/1358275419m/7260188.jpg,2010,4.03
Alice Sebold,The Lovely Bones,fiction | young-adult | mystery | contemporary | fantasy | crime,22,https://images.gr-assets.com/books/1457810586m/12232938.jpg,2006,3.77
"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",classics | fiction | fantasy | young-adult,23,https://images.gr-assets.com/books/1474169725m/15881.jpg,1999,4.37
"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",classics | fiction | fantasy | young-adult,25,https://images.gr-assets.com/books/1474171184m/136251.jpg,2007,4.61
Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",fiction | suspense | mystery | crime | historical-fiction | thriller,26,https://images.gr-assets.com/books/1303252999m/968.jpg,2006,3.79
William Golding,Lord of the Flies,classics | fiction | young-adult,28,https://images.gr-assets.com/books/1327869409m/7624.jpg,1999,3.64
"William Shakespeare, Robert           Jackson",Romeo and Juliet,classics | poetry | fiction | romance,29,https://images.gr-assets.com/books/1327872146m/18135.jpg,2004,3.73
Kathryn Stockett,The Help,fiction | classics | contemporary | chick-lit | historical-fiction,31,https://images.gr-assets.com/books/1346100365m/4667024.jpg,2009,4.45
John Steinbeck,Of Mice and Men,classics | historical-fiction | fiction,32,https://images.gr-assets.com/books/1437235233m/890.jpg,2002,3.84
Arthur Golden,Memoirs of a Geisha,classics | historical-fiction | fiction | romance,33,http://books.google.com/books/content?id=GNw7PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,4.08
E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",fiction | erotica | contemporary | chick-lit | romance,34,https://images.gr-assets.com/books/1385207843m/10818853.jpg,2011,3.67
Lois Lowry,"The Giver (The Giver, #1)",fiction | young-adult | classics | fantasy | science-fiction,36,https://images.gr-assets.com/books/1342493368m/3636.jpg,2006,4.12
C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",christian | fiction | young-adult | classics | fantasy,37,https://images.gr-assets.com/books/1353029077m/100915.jpg,2005,4.19
Audrey Niffenegger,The Time Traveler's Wife,fiction | contemporary | fantasy | chick-lit | romance | science-fiction,38,https://images.gr-assets.com/books/1437728815m/14050.jpg,2013,3.95
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",fiction | fantasy,39,https://images.gr-assets.com/books/1436732693m/13496.jpg,2005,4.45
Elizabeth Gilbert,"Eat, Pray, Love",spirituality | memoir | nonfiction | contemporary | chick-lit | romance | travel | biography,40,https://images.gr-assets.com/books/1503066414m/19501.jpg,2007,3.51
Louisa May Alcott,"Little Women (Little Women, #1)",fiction | young-adult | classics | romance | historical-fiction,42,http://books.google.com/books/content?id=m1C_wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.04
"Charlotte Brontë, Michael Mason",Jane Eyre,classics | historical-fiction | fiction | romance,43,https://images.gr-assets.com/books/1327867269m/10210.jpg,2003,4.1
Yann Martel,Life of Pi,philosophy | fiction | classics | contemporary | fantasy,45,https://images.gr-assets.com/books/1320562005m/4214.jpg,2006,3.88
Sara Gruen,Water for Elephants,historical-fiction | contemporary | fiction | romance,46,https://images.gr-assets.com/books/1494428973m/43641.jpg,2007,4.07
Markus Zusak,The Book Thief,classics | historical-fiction | fiction | young-adult,47,https://images.gr-assets.com/books/1390053681m/19063.jpg,2006,4.36
Shel Silverstein,Where the Sidewalk Ends,poetry | fiction | young-adult | classics | fantasy | humor,50,https://images.gr-assets.com/books/1168052448m/30119.jpg,2002,4.29
Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",fiction | young-adult | fantasy | paranormal | romance,51,https://images.gr-assets.com/books/1432730315m/256683.jpg,2007,4.12
Stephenie Meyer,"Eclipse (Twilight, #3)",fiction | young-adult | fantasy | paranormal | romance,52,https://images.gr-assets.com/books/1361038355m/428263.jpg,2007,3.69
Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",fiction | fantasy | young-adult,53,https://images.gr-assets.com/books/1366212852m/113436.jpg,2005,3.86
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",fiction | classics | fantasy | science-fiction | humor,54,https://images.gr-assets.com/books/1327656754m/11.jpg,2007,4.2
Aldous Huxley,Brave New World,philosophy | fiction | classics | fantasy | science-fiction,55,https://images.gr-assets.com/books/1487389574m/5129.jpg,1998,3.97
Stephenie Meyer,"Breaking Dawn (Twilight, #4)",fiction | young-adult | fantasy | paranormal | romance,56,https://images.gr-assets.com/books/1361039438m/1162543.jpg,2008,3.7
Sue Monk Kidd,The Secret Life of Bees,fiction | young-adult | classics | contemporary | chick-lit | historical-fiction,57,https://images.gr-assets.com/books/1473454532m/37435.jpg,2003,4.01
"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,classics | historical-fiction | fiction | young-adult,58,https://images.gr-assets.com/books/1405973850m/2956.jpg,2002,3.8
"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,classics | fiction | fantasy | young-adult,59,https://images.gr-assets.com/books/1439632243m/24178.jpg,2001,4.15
Mark Haddon,The Curious Incident of the Dog in the Night-Time,fiction | young-adult | mystery | classics | contemporary | psychology,60,https://images.gr-assets.com/books/1479863624m/1618.jpg,2004,3.85
Paula Hawkins,The Girl on the Train,fiction | suspense | mystery | contemporary | crime | thriller,61,https://images.gr-assets.com/books/1490903702m/22557272.jpg,2015,3.88
Philip Pullman,"The Golden Compass (His Dark Materials, #1)",fiction | young-adult | steampunk | fantasy | science-fiction,62,https://images.gr-assets.com/books/1451271747m/119322.jpg,1996,3.94
"Emily Brontë, Richard J. Dunn",Wuthering Heights,classics | historical-fiction | fiction | romance,63,http://books.google.com/books/content?id=dBKCQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.82
Jodi Picoult,My Sister's Keeper,contemporary | fiction | young-adult | chick-lit,64,https://images.gr-assets.com/books/1369504683m/10917.jpg,2005,4.06
Kurt Vonnegut Jr.,Slaughterhouse-Five,fiction | classics | fantasy | science-fiction | historical-fiction,65,https://images.gr-assets.com/books/1440319389m/4981.jpg,1999,4.06
Margaret Mitchell,Gone with the Wind,classics | historical-fiction | fiction | romance,66,https://images.gr-assets.com/books/1328025229m/18405.jpg,1999,4.28
Khaled Hosseini,A Thousand Splendid Suns,historical-fiction | contemporary | fiction,67,https://images.gr-assets.com/books/1345958969m/128029.jpg,2007,4.34
Stephen Chbosky,The Perks of Being a Wallflower,fiction | young-adult | lgbt | classics | contemporary | romance,68,https://images.gr-assets.com/books/1167352178m/22628.jpg,1999,4.21
Orson Scott Card,"Ender's Game (Ender's Saga, #1)",fiction | young-adult | classics | fantasy | science-fiction,70,https://images.gr-assets.com/books/1408303130m/375802.jpg,2004,4.3
Stephen King,The Shining (The Shining #1),fiction | horror | suspense | mystery | classics | fantasy | paranormal | thriller,72,https://images.gr-assets.com/books/1353277730m/11588.jpg,1980,4.17
Stephenie Meyer,"The Host (The Host, #1)",fiction | young-adult | fantasy | paranormal | romance | science-fiction,73,https://images.gr-assets.com/books/1318009171m/1656001.jpg,2008,3.84
Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",fiction | contemporary | chick-lit | romance | humor,75,https://images.gr-assets.com/books/1292060045m/227443.jpg,1999,3.75
"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,classics | historical-fiction | fiction,76,https://images.gr-assets.com/books/1397245675m/14935.jpg,2003,4.06
"Louis Sachar, Louis Sachar","Holes (Holes, #1)",fiction | young-adult | mystery | classics | contemporary,77,https://images.gr-assets.com/books/1327781893m/38709.jpg,2000,3.93
Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",fiction | contemporary | chick-lit | romance | humor,78,http://books.google.com/books/content?id=9ccASdwiv4oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,3.7
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,poetry | fiction | classics | fantasy | historical-fiction,79,https://images.gr-assets.com/books/1390173285m/1381.jpg,2006,3.73
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,philosophy | fiction | young-adult | classics | fantasy,80,https://images.gr-assets.com/books/1367545443m/157993.jpg,2000,4.28
Jeannette Walls,The Glass Castle,memoir | contemporary | nonfiction | biography,81,https://images.gr-assets.com/books/1400930557m/7445.jpg,2006,4.24
Jon Krakauer,Into the Wild,memoir | nonfiction | classics | travel | biography,82,https://images.gr-assets.com/books/1403173986m/1845.jpg,1997,3.94
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,classics | historical-fiction | fiction,83,https://images.gr-assets.com/books/1344922523m/1953.jpg,2003,3.81
Shel Silverstein,The Giving Tree,poetry | fiction | young-adult | classics | fantasy,85,https://images.gr-assets.com/books/1174210942m/370493.jpg,2064,4.38
John Grisham,A Time to Kill,fiction | suspense | mystery | crime | thriller,86,http://books.google.com/books/content?id=xyP0zKDKO8UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.03
"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),memoir | history | nonfiction | classics | biography,87,https://images.gr-assets.com/books/1473495285m/1617.jpg,2006,4.3
John Green,Paper Towns,fiction | young-adult | mystery | contemporary | romance,88,https://images.gr-assets.com/books/1349013610m/6442769.jpg,2009,3.88
William Goldman,The Princess Bride ,fiction | young-adult | classics | fantasy | romance | humor,89,https://images.gr-assets.com/books/1327903636m/21787.jpg,2003,4.25
S.E. Hinton,The Outsiders,fiction | young-adult | classics | contemporary | historical-fiction,90,https://images.gr-assets.com/books/1442129426m/231804.jpg,1997,4.06
James Dashner,"The Maze Runner (Maze Runner, #1)",fiction | young-adult | mystery | fantasy | science-fiction,91,https://images.gr-assets.com/books/1375596592m/6186357.jpg,2009,4.02
"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",business | psychology | nonfiction | science,92,https://images.gr-assets.com/books/1327909092m/1202.jpg,2006,3.93
Frances Hodgson Burnett,The Secret Garden,fiction | young-adult | classics | fantasy | historical-fiction,93,https://images.gr-assets.com/books/1327873635m/2998.jpg,1998,4.12
"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,classics | historical-fiction | fiction | fantasy,94,https://images.gr-assets.com/books/1327881361m/320.jpg,2003,4.04
"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,fiction | horror | lgbt | classics | fantasy,95,https://images.gr-assets.com/books/1424596966m/5297.jpg,2004,4.06
"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,fiction | horror | classics | fantasy | paranormal,97,https://images.gr-assets.com/books/1387151694m/17245.jpg,1986,3.98
E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",fiction | erotica | contemporary | chick-lit | romance,99,https://images.gr-assets.com/books/1358266080m/11857408.jpg,2011,3.87
Barbara Kingsolver,The Poisonwood Bible,classics | historical-fiction | religion | fiction,100,https://images.gr-assets.com/books/1412242487m/7244.jpg,2005,4.02
David Sedaris,Me Talk Pretty One Day,memoir | humor | nonfiction | biography,101,http://books.google.com/books/content?id=5zGGPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.97
Maurice Sendak,Where the Wild Things Are,classics | fiction | fantasy | young-adult,102,https://images.gr-assets.com/books/1384434560m/19543.jpg,2000,4.22
"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,classics | historical-fiction | fiction | romance,103,https://images.gr-assets.com/books/1309203605m/7126.jpg,2003,4.21
Cormac McCarthy,The Road,fiction | horror | classics | contemporary | science-fiction,104,https://images.gr-assets.com/books/1439197219m/6288.jpg,2006,3.95
Veronica Roth,"Allegiant (Divergent, #3)",fiction | young-adult | fantasy | romance | science-fiction,105,https://images.gr-assets.com/books/1395582745m/18710190.jpg,2013,3.63
